"claim_id","claim","status","source","source_type","source_tier","source_date","date_accessed","confidence","memo_section","contradictory_evidence"
"C001","ARMADA Marine Robotics, Inc. is a WHOI spin-off co-founded by WHOI engineers Robin Littlefield and Jeff Kaeli","observed","https://www.whoi.edu/press-room/news-release/armada","press_release","2-WHOI","2025-01-07","2026-08-21","high","Company overview",""
"C002","WHOI executed two exclusive licence agreements with ARMADA covering US 9,873,499 and US 11,990,857 for use in underwater and marine surface vehicles","observed","https://www.whoi.edu/press-room/news-release/armada","press_release","2-WHOI","2025-01-07","2026-08-21","high","IP",""
"C003","ARMADA is the first WHOI spin-off to use the WHOI Express License program","observed","https://www.whoi.edu/press-room/news-release/armada","press_release","2-WHOI","2025-01-07","2026-08-21","medium","IP",""
"C004","US 9,873,499 'Asymmetric propulsion and maneuvering system' is assigned to WHOI; inventors Austin, Purcell, Jaffre, Kaeli, Allen, Littlefield; granted 2018-01-23; anticipated expiry 2035-04-02","observed","https://patents.google.com/patent/US9873499B2/en","patent","1-Patent record","2018-01-23","2026-08-21","high","IP",""
"C005","US 9,873,499 claim 1 covers regulating motor speed to produce differential velocity within a single revolution of the propeller to generate a turning moment","observed","https://patents.google.com/patent/US9873499B2/en","patent","1-Patent record","2018-01-23","2026-08-21","high","Technical diligence",""
"C006","US 11,990,857 'Rotational feedback control system and method' is assigned to WHOI; inventors Kaeli and Jaffre; granted 2024-05-21; expiry 2041-05-24","observed","https://patents.google.com/patent/US11990857B2/en","patent","1-Patent record","2024-05-21","2026-08-21","high","IP",""
"C007","WO 2024/136933 A2 'External payload deployment system' lists ARMADA Marine Robotics Inc AND Woods Hole Oceanographic Institution as joint applicants and joint assignees; inventors Kaeli, Littlefield, Fiester; priority 2022-09-21; published 2024-06-27","observed","https://patents.google.com/patent/WO2024136933A2/en","patent","1-Patent record","2024-06-27","2026-08-21","high","IP","Supersedes the Phase 2.5 framing that EPADS IP rights were unresolved and possibly absent"
"C008","No US national-phase application from WO 2024/136933 was found in the searched patent corpus","unknown","Google Patents corpus search by applicant/inventor/title","patent_search","1-Patent record","","2026-08-21","medium","IP","Absence of a search hit is not proof of absence of a filing"
"C009","US 10,112,686 and US 11,072,406 'System for the deployment of marine payloads' are WHOI-owned; claim payload retention by vacuum force; Littlefield is a named inventor","observed","https://patents.google.com/patent/US11072406B2/en","patent","1-Patent record","2021-07-27","2026-08-21","high","IP",""
"C010","US 10,640,188 'Passive ballast device' is WHOI-owned; inventors Kaeli, Littlefield, Jakuba, Guest; granted 2020-05-05; expiry 2038-10-16","observed","https://patents.google.com/patent/US10640188B1/en","patent","1-Patent record","2020-05-05","2026-08-21","high","IP",""
