"candidate_id","name","entity_type","institution_or_company","researcher_or_founder","technology","category","ocean_centrality","current_maturity","evidence_signal","commercialization_signal","why_potentially_interesting","biggest_unknown","propeller_relevance","d1_technical","d2_commercial","d3_timing","d4_venture","d5_propeller","total","flags","queue","source_urls","source_date","date_accessed"
"armada-marine-robotics","ARMADA Marine Robotics","company","Spinout of Woods Hole Oceanographic Institution (WHOI)","Robin Littlefield (co-founder, WHOI engineer); Jeff Kaeli (co-founder, WHOI engineer)","Asymmetric Propulsion: varies the speed of a single-bladed propeller through each rotation to deliver both thrust and steering from one motor, removing fins and secondary motors from underwater vehicles","1. Maritime Autonomy & Robotics","central_environment","Company formed; IP licensed; STTR Phase I underway","Two granted US patents (Asymmetric Propulsion US 9,873,499; Rotational Feedback Control US 11,990,857); technology developed and tested at WHOI over years","Two exclusive WHOI license agreements executed Jan 2025; NSF STTR Phase I contract of $255,821 to develop Asymmetric Propulsion with WHOI","Textbook research-to-venture transition at Propeller's own founding partner institution: WHOI IP, WHOI engineer founders, formal exclusive license, then competitive federal commercialization funding. Attacks vehicle cost at the actuator level rather than building another vehicle.","Whether removing actuators preserves enough control authority in real currents and sea states - and whether vehicle cost is actually the customer's binding constraint versus launch, recovery and support-ship cost","Category 1 (Industrials); WHOI is Propeller's founding partner; dual-use, which Propeller has written about explicitly; pre-seed stage fits the stated $500K-$3M model","3","2","3","2","3","13","","Deep dive","https://www.whoi.edu/press-room/news-release/armada | https://www.newswise.com/articles/woods-hole-oceanographic-institution-licenses-ocean-technology-to-armada-marine-robotics | https://oceannews.com/news/science-technology/armada-marine-robotics-wins-nsf-contract/ | https://www.armadamarinerobotics.com/","2025-01 (license); NSF STTR contract announced subsequently","2026-08-21"
"juice-robotics","Juice Robotics","company","Spinout of University of Rhode Island","Matthew Jewell (CTO, URI alumnus); Brennan Phillips (CSO, URI Professor); Stephen Piper (CEO, former IBM executive)","Miniaturised underwater sensing, communications and robotics. Named technology 'High Dive' is a platform linking aerial and underwater systems via an ultra-light fibre-optic tether for real-time comms, sensing and control","1. Maritime Autonomy & Robotics","central_environment","Company formed; four university technologies licensed; first institutional investment raised","Four URI technologies licensed; two years operating inside URI's Ocean Technology Center incubator; founding team includes the URI professor who created the technology","Licensed four URI technologies and secured investment from Rogue Island Ventures, announced 1 Jul 2026","Very recent (seven weeks before this research) multi-patent license plus first institutional round out of a Propeller partner institution. Air-to-water tethering sidesteps the underwater bandwidth bottleneck rather than trying to beat it.","Only one of the four licensed technologies (High Dive) is publicly named; the other three are undisclosed, so the actual IP position cannot be assessed from public sources. Round size also undisclosed.","Category 1 (Industrials); URI is a Propeller partner; explicitly commercial, scientific and defence applications, matching Propeller's dual-use thesis; seed stage","3","2","3","2","3","13","","Deep dive","https://www.uri.edu/news/2026/07/uri-ocean-technology-spinout-juice-robotics-secures-investment-from-rogue-island-ventures-and-licenses-four-uri-technologies/","2026-07-01","2026-08-21"
"sea-gal-technologies","Sea-Gal Technologies, Inc.","company","Sea-Gal Technologies, Inc. (Bethlehem, PA)","Junchen Bao (PI)","High-frequency MIMO underwater acoustic communications, deliberately operating outside the frequency range of marine mammal communication to reduce ecosystem impact","2. Ocean Sensing, Data & Intelligence","central_mechanism","Company formed; SBIR Phase I awarded","NSF SBIR Phase I award 2451589 ($304,999), competitively awarded on technical and commercial merit","NSF SBIR Phase I, 1 Apr 2025","Underwater communications bandwidth is a first-order constraint on every autonomy, sensing and mCDR-MRV application in this taxonomy - it is an enabling layer, not an application. Underwater acoustic communications is not represented in the publicly disclosed Propeller portfolio reviewed.","Whether MIMO gains hold in real multipath-limited shallow-water channels, and whether the buyer is a component OEM or an end user - which determines whether this is a chip/module business or a systems business","Category 2 (Industrials/Carbon enabling); horizontal enabler beneath several Propeller portfolio companies; pre-seed/seed","2","2","2","3","3","12","","Deep dive","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2451589","2025-04-01","2026-08-21"
"atdepth-mrv","atdepth MRV","company","MIT spin-off (Cambridge, MA)","Dr. Carlos Munoz-Royo (CEO)","GPU-based real-time ocean modelling system enabling multi-scale simulation from global ocean down to metre scale, combined with in-water monitoring, for MRV of marine carbon dioxide removal","2. Ocean Sensing / 4. Marine Carbon","central_mechanism","Company formed; major federal program award; commercial partnership announced","ARPA-E SEA-CO2 award of $2,524,964 for a scalable, integrated, real-time GPU-based modelling system for mCDR MRV","ARPA-E SEA-CO2 program award; partnership with Deep Sky to advance direct ocean capture in Canada; SeaAhead/BlueSwell alumnus","MRV is the gating problem for the entire mCDR sector and is where the science is genuinely unsettled - a picks-and-shovels position beneath the crowded capture market rather than another capture technology","Whether MRV is a durable standalone business or gets absorbed into registries, capture developers, or public models; and whether GPU speed is a defensible advantage rather than a temporary engineering lead","Category 4 (Carbon) - Propeller's densest theme, with Aquatic Labs as the closest disclosed adjacency; complementary rather than competitive with capture companies","3","2","2","2","3","12","CROWDED_CATEGORY","Deep dive","https://arpa-e.energy.gov/programs-and-initiatives/search-all-projects/scalable-integrated-real-time-gpu-based-modeling-system-enable-mrv-mcdr | https://www.energy.gov/articles/doe-announces-36-million-advance-marine-carbon-dioxide-removal-techniques-and-slash | https://www.deepskyclimate.com/blog/deep-sky-and-atdepth-mrv-partner-to-advance-direct-ocean-capture-in-canada","ARPA-E SEA-CO2 awards announced 2023-2025","2026-08-21"
"hydrokinetx","Hydrokinetx Corporation","company","Hydrokinetx Corporation (Arnolds Park, IA)","Blake Boren (PI)","Wave-energy harvesting to provide persistent power for ocean sensing platforms, replacing batteries and solar which fail in remote or cloudy conditions","3. Offshore Energy / 2. Ocean Sensing","central_mechanism","Company formed; STTR Phase I awarded","NSF STTR Phase I award 2537673 ($304,950); STTR structure implies a university research partner","NSF STTR Phase I, 17 Jun 2026","Targets the power bottleneck that limits every persistent ocean sensing deployment. Framed as an enabler of ocean data rather than as grid-scale marine energy, which avoids the capital intensity that has historically killed wave energy companies","Whether a wave energy converter small enough to power a sensor can be made cheaper and more reliable than simply oversizing batteries or using a larger solar array - the honest competitive benchmark","Category 2/3 (Industrials); directly enables the ocean-data thesis Propeller articulates around Aquatic Labs; pre-seed","2","2","2","2","3","11","","Active research","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2537673","2026-06-17","2026-08-21"
"designer-ecosystems","Designer Ecosystems LLC","company","Designer Ecosystems LLC (Alexandria, VA)","Bridget Baumgartner (PI)","Engineered submerged barrier structures combining coastal protection with ecological restoration, plus a sensor platform to measure real-world performance","6. Coastal Adaptation / 5. Marine Materials","central_environment","Company formed; progressed SBIR Phase I to Phase II","NSF SBIR Phase I 2436946 ($301,769, Apr 2025) followed by SBIR Phase II 2604863 ($1,242,694, Jul 2026) - Phase II requires demonstrated Phase I technical milestones","Two sequential NSF SBIR awards; Phase II awarded 24 Jul 2026","One of very few candidates with a full Phase I to Phase II progression, and the pairing of structure with a sensor platform means performance is measured rather than asserted - unusual in nature-based coastal protection","Who actually pays. Coastal protection buyers are frequently municipalities on grant cycles; the venture case depends on reaching insurers, developers or industrial asset owners","Category 6 (Industrials/adaptation); matches Propeller's Aug 2026 coastal adaptation thesis and the disclosed stealth company in coastal adaptation","3","2","3","1","2","11","MUNICIPAL_BUYER_ONLY","Active research","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2604863 | https://www.nsf.gov/awardsearch/showAward?AWD_ID=2436946","2026-07-24; 2025-04-07","2026-08-21"
"lightthought","Lightthought LLC","company","Lightthought LLC (Closter, NJ)","Yu Ji (PI)","Image-based AI system for high-resolution, low-latency imaging in turbid submerged environments for aquaculture monitoring","7. Blue Food & Aquaculture","central_environment","Company formed; STTR Phase I awarded","NSF STTR Phase I award 2605022 ($304,925), implying a university research partner","NSF STTR Phase I, 18 Aug 2026 - three days before this research","Underwater machine vision in turbid water is a hard, unsolved sensing problem; aquaculture is Propeller's thinnest named theme with only one disclosed company","Whether aquaculture producers will pay for monitoring hardware given thin margins, and whether the imaging advantage is optics, algorithms, or both","Category 7 (Organics); Propeller's least-represented named theme; pre-seed","2","2","3","1","2","10","","Active research","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2605022","2026-08-18","2026-08-21"
"cultimar-technologies","Cultimar Technologies, Inc.","company","Cultimar Technologies, Inc. (San Juan, PR)","David Miranda (PI)","Chemical protein filtration method to remove off-flavour compounds from aquaculture production","7. Blue Food & Aquaculture","central_environment","Company formed; SBIR Phase I awarded","NSF SBIR Phase I award 2537706 ($304,645)","NSF SBIR Phase I, 17 Jun 2026","Attacks a specific, quantified producer pain point rather than a general platform. The award abstract states off-flavour adds $4.5B in production costs and reduces farmer profitability by 20-30% (claim attributed to the abstract, not independently verified)","Whether the filtration method works across species and system types, and whether producers pay per-unit or per-installation - which changes the business model entirely","Category 7 (Organics); underrepresented theme; Puerto Rico base is outside the usual US ocean-tech geography","2","2","2","2","2","10","","Active research","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2537706","2026-06-17","2026-08-21"
"nexuma","Nexuma L.L.C.","company","Nexuma L.L.C. (Sunny Isles Beach, FL)","Alexander Suma (PI)","Microbially-driven reinforcement of porous limestone to form an underground barrier against bottom-up flooding, saltwater intrusion and seawall failure","6. Coastal Adaptation / 5. Marine Materials","central_environment","Company formed; SBIR Phase II awarded","NSF SBIR Phase II award 2604891 ($1,149,796) - Phase II implies Phase I technical milestones met","NSF SBIR Phase II, 17 Jun 2026","Addresses bottom-up flooding through porous limestone, a failure mode conventional seawalls do not solve, in the single most exposed US coastal market (South Florida)","Durability and permanence of microbially-induced mineralisation under continuous saltwater flux, and whether permitting treats it as a structure or a subsurface injection","Category 6 (Industrials/adaptation); matches Propeller's stated adaptation interest","3","2","2","1","2","10","MUNICIPAL_BUYER_ONLY","Active research","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2604891","2026-06-17","2026-08-21"
"grow-oyster-reefs","Grow Oyster Reefs, LLC","company","Grow Oyster Reefs, LLC (Charlottesville, VA)","Evelyn Tickle (PI)","Biomimetic 3D-printed metal moulds to mass-produce modular biophilic concrete reef substrate that replicates natural oyster settlement surfaces","5. Marine Materials / 6. Coastal Adaptation","central_environment","Company formed; SBIR Phase II awarded","NSF SBIR Phase II award 2528142 ($1,237,446)","NSF SBIR Phase II, 12 Sep 2025","The innovation is the manufacturing method rather than the structure - moulds for mass production, which is what converts a restoration project into a product business. Abstract cites 85% of US coastal oyster habitat degraded or lost","Whether buyers are restoration grant programmes (project revenue) or coastal developers and infrastructure owners (product revenue) - determines venture viability","Category 5 (Industrials/materials); marine concrete adjacency to Allium Engineering","3","2","2","1","2","10","CONSULTANCY_RISK","Active research","https://www.nsf.gov/awardsearch/showAward?AWD_ID=2528142","2025-09-12","2026-08-21"
